ticker,name,sector,index
DE,Deere & Company,Industrials,S&P500
DELL,Dell Technologies,Information Technology,S&P500
DAL,Delta Air Lines,Industrials,S&P500
DVN,Devon Energy,Energy,S&P500
DXCM,Dexcom,Health Care,S&P500
FANG,Diamondback Energy,Energy,S&P500
DLR,Digital Realty,Real Estate,S&P500
DG,Dollar General,Consumer Staples,S&P500
DLTR,Dollar Tree,Consumer Staples,S&P500
D,Dominion Energy,Utilities,S&P500
DPZ,Domino's,Consumer Discretionary,S&P500
DASH,DoorDash,Consumer Discretionary,S&P500
DOV,Dover Corporation,Industrials,S&P500
DOW,Dow Inc.,Materials,S&P500
DHI,D. R. Horton,Consumer Discretionary,S&P500
DTE,DTE Energy,Utilities,S&P500
DUK,Duke Energy,Utilities,S&P500
DD,DuPont,Materials,S&P500
ETN,Eaton Corporation,Industrials,S&P500
EBAY,eBay Inc.,Consumer Discretionary,S&P500
ECHO,EchoStar,Communication Services,S&P500
ECL,Ecolab,Materials,S&P500
EIX,Edison International,Utilities,S&P500
EW,Edwards Lifesciences,Health Care,S&P500
EA,Electronic Arts,Communication Services,S&P500
ELV,Elevance Health,Health Care,S&P500
EME,Emcor,Industrials,S&P500
EMR,Emerson Electric,Industrials,S&P500
ETR,Entergy,Utilities,S&P500
EOG,EOG Resources,Energy,S&P500
EQT,EQT Corporation,Energy,S&P500
EFX,Equifax,Industrials,S&P500
EQIX,Equinix,Real Estate,S&P500
EQR,Equity Residential,Real Estate,S&P500
ERIE,Erie Indemnity,Financials,S&P500
ESS,Essex Property Trust,Real Estate,S&P500
EL,Estée Lauder Companies (The),Consumer Staples,S&P500
EG,Everest Group,Financials,S&P500
EVRG,Evergy,Utilities,S&P500
ES,Eversource Energy,Utilities,S&P500
EXC,Exelon,Utilities,S&P500
EXE,Expand Energy,Energy,S&P500
EXPE,Expedia Group,Consumer Discretionary,S&P500
EXPD,Expeditors International,Industrials,S&P500
EXR,Extra Space Storage,Real Estate,S&P500
XOM,ExxonMobil,Energy,S&P500
FFIV,"F5, Inc.",Information Technology,S&P500
FDS,FactSet,Financials,S&P500
FICO,Fair Isaac,Information Technology,S&P500
FAST,Fastenal,Industrials,S&P500
FRT,Federal Realty Investment Trust,Real Estate,S&P500
FDX,FedEx,Industrials,S&P500
FDXF,FedEx Freight,Industrials,S&P500
FIS,Fidelity National Information Services,Financials,S&P500
FITB,Fifth Third Bancorp,Financials,S&P500
FSLR,First Solar,Information Technology,S&P500
FE,FirstEnergy,Utilities,S&P500
FISV,Fiserv,Financials,S&P500
FLEX,Flex Ltd.,Information Technology,S&P500
F,Ford Motor Company,Consumer Discretionary,S&P500
FTNT,Fortinet,Information Technology,S&P500
FTV,Fortive,Industrials,S&P500
FOXA,Fox Corporation (Class A),Communication Services,S&P500
FOX,Fox Corporation (Class B),Communication Services,S&P500
BEN,Franklin Resources,Financials,S&P500
FCX,Freeport-McMoRan,Materials,S&P500
GRMN,Garmin,Consumer Discretionary,S&P500
IT,Gartner,Information Technology,S&P500
GE,GE Aerospace,Industrials,S&P500
GEHC,GE HealthCare,Health Care,S&P500
GEV,GE Vernova,Industrials,S&P500
GEN,Gen Digital,Information Technology,S&P500
GNRC,Generac,Industrials,S&P500
GD,General Dynamics,Industrials,S&P500
GIS,General Mills,Consumer Staples,S&P500
GM,General Motors,Consumer Discretionary,S&P500
GPC,Genuine Parts Company,Consumer Discretionary,S&P500
GILD,Gilead Sciences,Health Care,S&P500
GPN,Global Payments,Financials,S&P500
GL,Globe Life,Financials,S&P500
GDDY,GoDaddy,Information Technology,S&P500
GS,Goldman Sachs,Financials,S&P500
HAL,Halliburton,Energy,S&P500
HIG,Hartford (The),Financials,S&P500
HAS,Hasbro,Consumer Discretionary,S&P500
HCA,HCA Healthcare,Health Care,S&P500
DOC,Healthpeak Properties,Real Estate,S&P500
HSIC,Henry Schein,Health Care,S&P500
HSY,Hershey Company (The),Consumer Staples,S&P500
HPE,Hewlett Packard Enterprise,Information Technology,S&P500
HLT,Hilton Worldwide,Consumer Discretionary,S&P500
HD,Home Depot (The),Consumer Discretionary,S&P500
HONA,Honeywell Aerospace,Industrials,S&P500
HON,Honeywell Technologies,Industrials,S&P500
HRL,Hormel Foods,Consumer Staples,S&P500
HST,Host Hotels & Resorts,Real Estate,S&P500
HWM,Howmet Aerospace,Industrials,S&P500
HPQ,HP Inc.,Information Technology,S&P500
HUBB,Hubbell Incorporated,Industrials,S&P500
HUM,Humana,Health Care,S&P500
HBAN,Huntington Bancshares,Financials,S&P500
HII,Huntington Ingalls Industries,Industrials,S&P500
IBM,IBM,Information Technology,S&P500
IEX,IDEX Corporation,Industrials,S&P500
IDXX,Idexx Laboratories,Health Care,S&P500
ITW,Illinois Tool Works,Industrials,S&P500
INCY,Incyte,Health Care,S&P500
IR,Ingersoll Rand,Industrials,S&P500
PODD,Insulet Corporation,Health Care,S&P500
INTC,Intel,Information Technology,S&P500
IBKR,Interactive Brokers,Financials,S&P500
ICE,Intercontinental Exchange,Financials,S&P500
IFF,International Flavors & Fragrances,Materials,S&P500
IP,International Paper,Materials,S&P500
INTU,Intuit,Information Technology,S&P500
ISRG,Intuitive Surgical,Health Care,S&P500
IVZ,Invesco,Financials,S&P500
INVH,Invitation Homes,Real Estate,S&P500
IQV,IQVIA,Health Care,S&P500
IRM,Iron Mountain,Real Estate,S&P500
JBHT,J.B. Hunt,Industrials,S&P500
JBL,Jabil,Information Technology,S&P500
JKHY,Jack Henry & Associates,Financials,S&P500
J,Jacobs Solutions,Industrials,S&P500
JNJ,Johnson & Johnson,Health Care,S&P500
JCI,Johnson Controls,Industrials,S&P500
JPM,JPMorgan Chase,Financials,S&P500
KVUE,Kenvue,Consumer Staples,S&P500
KDP,Keurig Dr Pepper,Consumer Staples,S&P500
KEY,KeyCorp,Financials,S&P500
KEYS,Keysight Technologies,Information Technology,S&P500
KMB,Kimberly-Clark,Consumer Staples,S&P500
KIM,Kimco Realty,Real Estate,S&P500
KMI,Kinder Morgan,Energy,S&P500
KKR,KKR & Co.,Financials,S&P500
KLAC,KLA Corporation,Information Technology,S&P500
KHC,Kraft Heinz,Consumer Staples,S&P500
KR,Kroger,Consumer Staples,S&P500
LHX,L3Harris,Industrials,S&P500
LH,Labcorp,Health Care,S&P500
LRCX,Lam Research,Information Technology,S&P500
LVS,Las Vegas Sands,Consumer Discretionary,S&P500
LDOS,Leidos,Industrials,S&P500
LEN,Lennar,Consumer Discretionary,S&P500
LII,Lennox International,Industrials,S&P500
LLY,Lilly (Eli),Health Care,S&P500
LIN,Linde plc,Materials,S&P500
LYV,Live Nation Entertainment,Communication Services,S&P500
LMT,Lockheed Martin,Industrials,S&P500
L,Loews Corporation,Financials,S&P500
LOW,Lowe's,Consumer Discretionary,S&P500
LULU,Lululemon Athletica,Consumer Discretionary,S&P500
LITE,Lumentum,Information Technology,S&P500
LYB,LyondellBasell,Materials,S&P500
MTB,M&T Bank,Financials,S&P500
MPC,Marathon Petroleum,Energy,S&P500
MAR,Marriott International,Consumer Discretionary,S&P500
MRSH,Marsh McLennan,Financials,S&P500
MLM,Martin Marietta Materials,Materials,S&P500
MRVL,Marvell Technology,Information Technology,S&P500
MAS,Masco,Industrials,S&P500
MA,Mastercard,Financials,S&P500
MKC,McCormick & Company,Consumer Staples,S&P500
MCD,McDonald's,Consumer Discretionary,S&P500
MCK,McKesson Corporation,Health Care,S&P500
MDT,Medtronic,Health Care,S&P500
MRK,Merck & Co.,Health Care,S&P500
META,Meta Platforms,Communication Services,S&P500
MET,MetLife,Financials,S&P500
MTD,Mettler Toledo,Health Care,S&P500
MGM,MGM Resorts,Consumer Discretionary,S&P500
MCHP,Microchip Technology,Information Technology,S&P500
MU,Micron Technology,Information Technology,S&P500
MSFT,Microsoft,Information Technology,S&P500
MAA,Mid-America Apartment Communities,Real Estate,S&P500
MRNA,Moderna,Health Care,S&P500
TAP,Molson Coors Beverage Company,Consumer Staples,S&P500
MDLZ,Mondelez International,Consumer Staples,S&P500
MPWR,Monolithic Power Systems,Information Technology,S&P500
MNST,Monster Beverage,Consumer Staples,S&P500
MCO,Moody's Corporation,Financials,S&P500
MS,Morgan Stanley,Financials,S&P500
MOS,Mosaic Company (The),Materials,S&P500
MSI,Motorola Solutions,Information Technology,S&P500
MSCI,MSCI Inc.,Financials,S&P500
NDAQ,"Nasdaq, Inc.",Financials,S&P500
NTAP,NetApp,Information Technology,S&P500
NFLX,Netflix,Communication Services,S&P500
NEM,Newmont,Materials,S&P500
NWSA,News Corp (Class A),Communication Services,S&P500
NWS,News Corp (Class B),Communication Services,S&P500
NEE,NextEra Energy,Utilities,S&P500
NKE,"Nike, Inc.",Consumer Discretionary,S&P500
NI,NiSource,Utilities,S&P500
NDSN,Nordson Corporation,Industrials,S&P500
NSC,Norfolk Southern,Industrials,S&P500
NTRS,Northern Trust,Financials,S&P500
NOC,Northrop Grumman,Industrials,S&P500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,S&P500
NRG,NRG Energy,Utilities,S&P500
NUE,Nucor,Materials,S&P500
NVDA,Nvidia,Information Technology,S&P500
NVR,"NVR, Inc.",Consumer Discretionary,S&P500
NXPI,NXP Semiconductors,Information Technology,S&P500
ORLY,O’Reilly Automotive,Consumer Discretionary,S&P500
OXY,Occidental Petroleum,Energy,S&P500
ODFL,Old Dominion,Industrials,S&P500
OMC,Omnicom Group,Communication Services,S&P500
ON,ON Semiconductor,Information Technology,S&P500
OKE,Oneok,Energy,S&P500
ORCL,Oracle Corporation,Information Technology,S&P500
OTIS,Otis Worldwide,Industrials,S&P500
PCAR,Paccar,Industrials,S&P500
PKG,Packaging Corporation of America,Materials,S&P500
PLTR,Palantir Technologies,Information Technology,S&P500
PANW,Palo Alto Networks,Information Technology,S&P500
PSKY,Paramount Skydance Corporation,Communication Services,S&P500
PH,Parker Hannifin,Industrials,S&P500
PAYX,Paychex,Industrials,S&P500
PYPL,PayPal,Financials,S&P500
PNR,Pentair,Industrials,S&P500
PEP,PepsiCo,Consumer Staples,S&P500
PFE,Pfizer,Health Care,S&P500
PCG,PG&E Corporation,Utilities,S&P500
PM,Philip Morris International,Consumer Staples,S&P500
PSX,Phillips 66,Energy,S&P500
PNW,Pinnacle West Capital,Utilities,S&P500
PNC,PNC Financial Services,Financials,S&P500
PPG,PPG Industries,Materials,S&P500
PPL,PPL Corporation,Utilities,S&P500
PFG,Principal Financial Group,Financials,S&P500
PG,Procter & Gamble,Consumer Staples,S&P500
