ticker,name,score,roe,revenue_growth,earnings_growth,per,pbr,debt_to_equity,sector,index
EA,Electronic Arts,51.5,0.1349,0.119,0.853,58.46439,7.6062865,27.41,Communication Services,S&P500
ACM,AECOM,51.5,0.28608,0.008,0.285,14.141962,3.8247414,135.206,Industrials,S&P400
CRS,Carpenter Technology,51.4,0.24892999,0.116,0.473,62.867367,14.351901,33.822,Industrials,S&P400
ANET,Arista Networks,51.3,0.31520998,0.351,0.25,54.97938,14.93698,,Information Technology,S&P500
GS,Goldman Sachs,51.3,0.14548,0.145,0.242,18.655216,2.865796,678.596,Financials,S&P500
AAPL,Apple Inc.,51.3,1.4147099,0.166,0.218,37.319225,42.511017,79.548,Information Technology,S&P500
ORCL,Oracle Corporation,51.3,0.53376,0.206,0.219,24.018835,10.756902,388.87,Information Technology,S&P500
PNR,Pentair,51.2,0.1761,0.026,0.13,19.276382,3.2540188,54.634,Industrials,S&P500
AA,Alcoa,51.1,0.15427,-0.052,-0.227,12.482051,1.8819345,37.019,Materials,S&P400
FFIV,"F5, Inc.",51.1,0.2034,0.11,0.04,33.564148,6.346842,7.12,Information Technology,S&P500
CSCO,Cisco,51.0,0.25229,0.12,0.371,37.563335,9.087171,67.541,Information Technology,S&P500
AJG,Arthur J. Gallagher & Co.,51.0,0.07007,0.346,0.162,40.847897,2.7277248,56.18,Financials,S&P500
AN,AutoNation,51.0,0.2933,-0.021,0.315,10.109002,2.838803,470.56,Consumer Discretionary,S&P400
FDX,FedEx,50.8,0.14846,0.125,-0.046,16.720085,2.3835814,135.694,Industrials,S&P500
AAON,AAON,50.8,0.13498999,0.543,0.371,75.788734,9.429598,47.455,Industrials,S&P400
AME,Ametek,50.8,0.14626999,0.113,0.145,35.441086,4.924853,22.489,Industrials,S&P500
DHI,D. R. Horton,50.8,0.13084,-0.023,-0.132,14.875236,1.9124405,27.453,Consumer Discretionary,S&P500
L,Loews Corporation,50.7,0.09217,0.014,-0.063,14.805591,1.2818763,45.603,Financials,S&P500
KVUE,Kenvue,50.4,0.15701,0.045,0.469,23.607143,3.5891402,82.975,Consumer Staples,S&P500
VST,Vistra Corp.,50.3,0.42898,0.434,,25.259197,16.361568,355.187,Utilities,S&P500
HWM,Howmet Aerospace,50.2,0.33818,0.191,0.714,62.886044,19.636192,87.794,Industrials,S&P500
TDY,Teledyne Technologies,50.1,0.09049,0.076,0.216,33.0,2.86446,23.133,Information Technology,S&P500
BDC,Belden Inc.,50.1,0.18887,0.114,0.024,19.429293,3.5023673,107.34,Information Technology,S&P400
LDOS,Leidos,50.1,0.30579,0.037,-0.076,9.957913,2.730968,137.125,Industrials,S&P500
AON,Aon plc,50.1,0.46447,0.065,0.271,19.608337,7.7642865,155.05,Financials,S&P500
PG,Procter & Gamble,49.9,0.31112,0.074,0.058,22.135965,6.5599413,67.651,Consumer Staples,S&P500
DOV,Dover Corporation,49.9,0.14998001,0.101,0.053,26.747185,3.842323,43.927,Industrials,S&P500
ADP,Automatic Data Processing,49.9,0.71208,0.07,0.105,22.620914,15.284209,69.259,Industrials,S&P500
DY,Dycom Industries,49.9,0.19699,0.561,0.435,41.85086,6.933384,158.196,Industrials,S&P400
DVN,Devon Energy,49.8,0.15178001,-0.008,-0.753,11.272981,1.6289648,56.404,Energy,S&P500
AXP,American Express,49.8,0.34419,0.116,0.176,21.983759,7.0609474,177.847,Financials,S&P500
CRWD,CrowdStrike,49.8,-0.0024899999,0.256,,,10.655314,17.568,Information Technology,S&P500
DLR,Digital Realty,49.7,0.05688,0.167,0.676,45.84656,2.6712086,76.592,Real Estate,S&P500
PLD,Prologis,49.7,0.06844,0.083,0.652,35.120903,2.4324417,60.934,Real Estate,S&P500
KO,Coca-Cola Company (The),49.7,0.43372002,0.121,0.182,26.459118,10.765098,124.943,Consumer Staples,S&P500
ES,Eversource Energy,49.7,0.10912,0.094,0.074,15.940043,1.6930496,181.822,Utilities,S&P500
IEX,IDEX Corporation,49.6,0.12748,0.089,0.278,33.109467,4.106337,46.915,Industrials,S&P500
DGX,Quest Diagnostics,49.6,0.14538999,0.092,0.155,23.810154,3.2507534,82.737,Health Care,S&P500
HUBB,Hubbell Incorporated,49.6,0.25822002,0.111,0.125,28.822487,6.829877,72.468,Industrials,S&P500
PAYX,Paychex,49.5,,0.125,0.426,21.748466,9.49384,123.378,Industrials,S&P500
HPE,Hewlett Packard Enterprise,49.5,0.06315,0.4,,38.532707,2.1571703,84.03,Information Technology,S&P500
VZ,Verizon,49.5,0.17198,0.029,0.043,10.380488,1.7202216,192.045,Communication Services,S&P500
STX,Seagate Technology,49.4,17.8797,0.441,1.083,77.519844,168.06557,381.553,Information Technology,S&P500
PPG,PPG Industries,49.4,0.20748,0.067,0.042,17.955587,3.4472044,93.736,Materials,S&P500
BLD,TopBuild Corp.,49.4,0.22262,0.172,-0.118,19.917416,4.132533,130.072,Consumer Discretionary,S&P400
HSY,Hershey Company (The),49.4,0.23234,0.106,0.936,33.918064,7.804439,120.011,Consumer Staples,S&P500
EGP,EastGroup Properties,49.4,0.08455,0.091,0.553,38.493626,3.1712186,46.083,Real Estate,S&P400
CVNA,Carvana,49.4,0.60172004,0.52,0.119,39.65318,13.184701,121.351,Consumer Discretionary,S&P500
FDS,FactSet,49.3,0.27032,0.064,-0.096,16.474966,4.402683,77.284,Financials,S&P500
APH,Amphenol,49.3,0.36825,0.584,0.241,47.432274,14.475813,133.051,Information Technology,S&P500
CW,Curtiss-Wright,49.3,0.19691,0.134,0.291,55.572365,10.67274,43.634,Industrials,S&P400
NEE,NextEra Energy,49.2,0.10325,0.073,1.6,22.421318,3.3359766,156.686,Utilities,S&P500
GWW,W. W. Grainger,49.2,0.46129,0.101,0.182,36.101612,16.138678,64.034,Industrials,S&P500
EFX,Equifax,49.2,0.1437,0.143,0.34,30.294016,4.5209007,113.353,Industrials,S&P500
EIX,Edison International,49.1,0.18864,0.077,-0.632,8.223913,1.6890279,226.101,Utilities,S&P500
IDXX,Idexx Laboratories,49.1,0.72915,0.143,0.172,40.98457,28.404114,71.04,Health Care,S&P500
TKO,TKO Group Holdings,49.1,0.06736,0.259,0.63,72.54478,4.3170867,58.229,Communication Services,S&P500
TXN,Texas Instruments,49.1,0.32347,0.186,0.313,50.01365,15.896295,83.741,Information Technology,S&P500
