ticker,name,score,roe,op_margin,net_margin,equity_ratio,per,pbr,price,sector33,market,scale
6159.T,ミクロン精密,53.1,0.028694000984598,-0.0016207455429497,0.2204213938411669,0.853,21.425297891842344,,1870.0,機械,スタンダード,-
4259.T,エクサウィザーズ,53.0,0.3227368421052631,0.1328776258752917,0.1277925975325108,0.481,48.869277440706014,16.66039864610756,886.0,情報･通信業,グロース,-
387A.T,フラー,53.0,0.0795262267343485,0.0287114845938375,0.0658263305322128,0.666,17.278617710583152,,960.0,情報･通信業,グロース,-
3739.T,,53.0,0.1229611041405269,0.0565885206143896,0.0396119644300727,0.517,,,,,,
423A.T,ライオン事務器,53.0,0.071070780399274,0.0569005335669347,0.038982240981126,0.511,10.171730515191545,,308.0,卸売業,スタンダード,-
4053.T,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,53.0,0.0371459112773917,0.1411070780399274,0.094600725952813,0.582,40.795559666975024,,441.0,情報･通信業,プライム,TOPIX Small 2
4627.T,ナトコ,53.0,0.0259316098060048,0.0750390828556539,0.0572346708355046,0.782,20.31393217231897,,1773.0,化学,スタンダード,-
3719.T,ＡＩストーム,52.9,0.0411985018726591,0.240506329113924,0.1989150090415913,0.396,46.907216494845365,,182.0,情報･通信業,スタンダード,-
7291.T,日本プラスト,52.9,0.0536490414100205,0.0230452459929828,0.0175168246837481,0.439,4.368292223686688,0.2335731149290471,464.0,輸送用機器,スタンダード,-
5542.T,新報国マテリアル,52.9,0.0222678999657416,0.1042654028436018,0.0880162491536899,0.727,41.57245632065776,,809.0,鉄鋼,スタンダード,-
7419.T,ノジマ,52.9,0.156322402155451,0.0590870611027224,0.0396121708906353,0.408,9.813535398558798,1.576522818407485,1321.0,小売業,プライム,TOPIX Small 1
4263.T,サスメド,52.9,-0.0808179162609542,,,0.953,,,841.0,情報･通信業,グロース,-
6325.T,タカキタ,52.9,0.0244746895893027,0.0497861942577886,0.0313072693952351,0.842,22.02086765513454,0.5456301960730955,401.0,機械,スタンダード,-
5484.T,東北特殊鋼,52.9,0.0432716782623451,0.0677464048540442,0.0609144331374516,0.81,25.911261208804003,1.1217714409595303,4450.0,鉄鋼,スタンダード,-
4891.T,ティムス,52.9,-0.0790697674418604,,,0.953,,,108.0,医薬品,グロース,-
4902.T,コニカミノルタ,52.9,0.0551358814946509,0.045846518187284,0.0278265538208649,0.434,9.366530811543369,0.5284440626791858,573.7000122070312,電気機器,プライム,TOPIX Mid400
9908.T,日本電計,52.9,0.1091773571364492,0.0373419052482951,0.0274206146543695,0.416,8.354500960287467,0.933079161232066,2697.0,卸売業,スタンダード,-
7956.T,ピジョン,52.8,0.0273435649661314,0.1315552026563684,0.08333634099686,0.743,107.74210253754532,,2080.5,その他製品,プライム,TOPIX Mid400
5832.T,ちゅうぎんフィナンシャルグループ,52.8,0.0639681005316578,,0.1594104563302472,0.054,14.46512671002467,0.9237987751430814,3225.0,銀行業,プライム,TOPIX Mid400
3695.T,ＧＭＯプロダクトプラットフォーム,52.8,0.079437318990484,0.1917876815222834,0.0961442163244867,0.256,32.6027397260274,,1428.0,情報･通信業,グロース,-
4436.T,ミンカブ・ジ・インフォノイド,52.8,0.5138504155124654,0.0625284738041002,0.084510250569476,0.145,8.885696696080444,4.606873071603363,433.0,情報･通信業,グロース,-
2331.T,ＡＬＳＯＫ,52.8,0.0779077202704823,0.0785878671950635,0.0557128165272534,0.568,15.805227040443862,1.371259912340706,1082.5,サービス業,プライム,TOPIX Mid400
2984.T,ヤマイチエステート,52.8,0.0399574920297555,0.10936614128586,0.0319764145594738,0.225,11.209665086404648,0.4526647316741802,733.0,不動産業,スタンダード,-
6094.T,フリークアウト・ホールディングス,52.8,0.1021183345507669,0.0389199128302914,0.0476028330155271,0.294,6.473658051689861,,521.0,サービス業,グロース,-
3175.T,エー・ピーホールディングス,52.7,1.0097864768683271,0.0387241647953806,0.0520141148434993,0.14,11.042726949934904,,933.0,小売業,スタンダード,-
3465.T,ケイアイスター不動産,52.7,0.1850378993287781,0.0685317525799367,0.0389814803061651,0.206,7.502776936281935,1.575995655936604,3715.0,不動産業,プライム,TOPIX Small 1
4919.T,ミルボン,52.7,0.0208637382063351,0.1006846556584776,0.0817559403946838,0.854,86.4831038798498,,2764.0,化学,プライム,TOPIX Small 1
4118.T,カネカ,52.7,0.0593805650709549,0.0405279200825984,0.0381660296831838,0.52,11.465107928021386,0.6940946997832086,5747.0,化学,プライム,TOPIX Mid400
7520.T,エコス,52.7,0.0904923192719559,0.0415190056890241,0.0191687502264738,0.518,9.766553480475382,0.8844251236696147,2301.0,小売業,プライム,TOPIX Small 2
8037.T,カメイ,52.7,0.0667234844237109,0.0291127430635352,0.0204089332816535,0.524,9.115219459515057,0.6250517937840406,3545.0,卸売業,プライム,TOPIX Small 2
3929.T,ソーシャルワイヤー,52.7,0.1223698781838316,0.0646171363506974,0.062909194420723,0.512,14.722955145118734,1.8395200105492189,279.0,情報･通信業,グロース,-
2903.T,シノブフーズ,52.7,0.1119093125947406,0.0376609545938619,0.0273985865040178,0.529,10.159069643095842,1.1065973587268307,1520.0,食料品,スタンダード,-
3563.T,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,52.7,0.1496110013036713,0.1104720239828154,0.0699813519446695,0.263,29.60908105350424,,4643.0,小売業,プライム,TOPIX Mid400
248A.T,キッズスター,52.7,0.0087755954868366,0.1146245059288537,0.0830039525691699,0.871,104.66830466830466,,852.0,情報･通信業,グロース,-
6625.T,ＪＡＬＣＯホールディングス,52.7,0.0949717722787949,0.2868490732568402,0.1059135039717564,0.206,20.600858369098717,1.9642230796211853,336.0,不動産業,スタンダード,-
7919.T,野崎印刷紙業,52.7,0.073792394655704,0.0368150684931506,0.0256135844748858,0.435,8.615245827695082,0.6673188456432114,191.0,その他製品,スタンダード,-
4384.T,,52.7,0.107047411659903,0.0602271455745776,0.0605068815038603,0.421,,,,,,
7318.T,セレンディップ・ホールディングス,52.6,0.2430404969817734,0.0427848249711705,0.0810546684127201,0.234,,,,輸送用機器,グロース,-
8167.T,リテールパートナーズ,52.6,0.0560299233378043,0.0232497115353508,0.0184689266958306,0.673,11.177944862155387,0.6264308889419499,1338.0,小売業,プライム,TOPIX Small 2
7851.T,カワセコンピュータサプライ,52.6,0.0265486725663716,0.0171612441902037,0.0235967107615302,0.724,12.05574912891986,0.3263350498934224,173.0,その他製品,スタンダード,-
9974.T,ベルク,52.6,0.1051562292689399,0.0422736118196074,0.0299481380717565,0.545,10.84295782746554,1.1400676785631,6600.0,小売業,プライム,TOPIX Small 1
6459.T,だいわ,52.6,0.0143302091667619,0.1332858161083392,0.0893620812544547,0.754,82.09028459273799,,1673.0,機械,プライム,TOPIX Small 2
4538.T,扶桑薬品工業,52.6,0.0573637219385572,0.0423547915964498,0.0322756672605004,0.388,9.065059627381912,0.5201497135036807,2136.0,医薬品,プライム,TOPIX Small 2
8219.T,青山商事,52.6,0.0382520610661697,0.0560179037198893,0.0366010443836602,0.579,14.70281543274244,0.5650849631292081,705.0,小売業,プライム,TOPIX Small 1
8914.T,エリアリンク,52.6,0.0340163657266517,0.2199048152295632,0.1408174692049272,0.452,41.28347650328449,,817.0,不動産業,スタンダード,-
5591.T,ＡＶＩＬＥＮ,52.6,0.0533854166666666,0.1493212669683258,0.0927601809954751,0.578,117.3848439821694,,790.0,情報･通信業,グロース,-
4809.T,パラカ,52.6,0.0426655251141552,0.1654998906147451,0.0981185736162765,0.405,23.31868874619804,,2070.0,不動産業,プライム,TOPIX Small 2
2659.T,サンエー,52.6,0.0663402875284235,0.0695179761187222,0.0434864059165621,0.72,18.44558985347773,1.2593761244429682,3185.0,小売業,プライム,TOPIX Small 1
