ticker,name,score,gc_recent,trend_aligned,rsi,ret20,pct_from_52w_high,vol_ratio_on_gc,close,turnover20,sector33,market,scale
5844.T,京都フィナンシャルグループ,100,True,True,58.9,1.9,-2.3,0.81,4710.0,5810843815,銀行業,プライム,TOPIX Mid400
9007.T,小田急電鉄,100,True,True,54.4,0.8,-5.3,0.92,1677.5,2269502575,陸運業,プライム,TOPIX Mid400
6861.T,キーエンス,100,True,True,68.2,2.9,-4.6,0.69,80300.0,46980349150,電気機器,プライム,TOPIX Core30
2914.T,日本たばこ産業,100,True,True,58.3,3.5,-4.2,0.99,6057.0,30534310357,食料品,プライム,TOPIX Core30
6877.T,ＯＢＡＲＡ　ＧＲＯＵＰ,100,True,True,56.3,0.7,-7.8,0.53,6160.0,254692100,電気機器,スタンダード,TOPIX Small 2
9605.T,東映,100,True,False,50.0,3.1,-4.7,1.01,5720.0,484062500,情報･通信業,プライム,TOPIX Small 1
9735.T,セコム,100,True,True,58.7,4.2,-0.5,1.23,6573.0,9417581215,サービス業,プライム,TOPIX Large70
6071.T,ＩＢＪ,100,True,True,58.0,2.9,-9.4,0.52,814.0,188901770,サービス業,プライム,TOPIX Small 2
6971.T,京セラ,100,True,True,53.9,5.3,0.0,0.73,3916.0,29128044145,電気機器,プライム,TOPIX Large70
6481.T,ＴＨＫ,100,True,True,57.5,3.6,-3.9,0.9,7784.0,6236759742,機械,プライム,TOPIX Mid400
6268.T,ナブテスコ,100,True,True,63.0,10.2,-0.9,0.81,5655.0,5896608566,機械,プライム,TOPIX Mid400
9934.T,因幡電機産業,100,True,True,62.8,1.8,-1.7,0.7,2779.5,497012905,卸売業,プライム,TOPIX Mid400
6457.T,グローリー,100,True,False,56.6,2.1,-8.2,0.91,4065.0,765084530,機械,プライム,TOPIX Mid400
3106.T,倉敷紡績,100,True,True,67.4,9.2,-8.1,0.47,10610.0,301572300,繊維製品,プライム,TOPIX Small 1
3333.T,あさひ,100,True,False,53.9,1.9,-7.5,0.8,1303.0,150512715,小売業,プライム,TOPIX Small 2
9842.T,アークランズ,90,True,True,52.9,1.8,-5.3,1.95,1916.0,291039235,小売業,プライム,TOPIX Small 1
2060.T,フィード・ワン,90,True,True,69.2,7.8,-3.7,1.95,1258.0,118037945,食料品,プライム,TOPIX Small 2
3436.T,ＳＵＭＣＯ,90,True,True,65.2,26.4,0.0,2.2,5094.0,61446994834,金属製品,プライム,TOPIX Mid400
3445.T,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,90,True,True,69.7,10.5,0.0,1.62,8450.0,1507001250,金属製品,プライム,TOPIX Small 1
7860.T,エイベックス,90,True,False,54.4,2.0,-4.3,1.97,1206.0,169691380,情報･通信業,プライム,TOPIX Small 1
8005.T,スクロール,90,True,True,63.4,2.0,-2.1,1.59,1670.0,313231610,小売業,プライム,TOPIX Small 2
9256.T,サクシード,90,True,True,66.2,52.0,-8.7,1.49,4940.0,1177975750,サービス業,グロース,-
8142.T,トーホー,90,True,False,68.9,6.3,-3.3,1.55,1363.0,156053830,卸売業,プライム,TOPIX Small 2
7458.T,第一興商,90,True,False,64.7,5.3,-2.5,1.9,1728.5,397522272,卸売業,プライム,TOPIX Mid400
7130.T,ヤマエグループホールディングス,90,True,False,57.1,1.5,-4.2,1.82,2973.0,235898055,卸売業,プライム,TOPIX Small 1
5195.T,バンドー化学,90,True,True,50.0,1.4,-2.9,2.03,2231.0,141282980,ゴム製品,プライム,TOPIX Small 2
1926.T,ライト工業,90,True,True,66.1,0.2,-3.3,1.62,4100.0,520737300,建設業,プライム,TOPIX Small 1
8566.T,リコーリース,90,True,True,50.0,4.0,-1.1,1.83,6240.0,223665650,その他金融業,プライム,TOPIX Small 1
8595.T,ジャフコ　グループ,90,True,True,66.9,6.3,-6.6,1.98,2352.0,1207145830,証券･商品先物取引業,プライム,TOPIX Mid400
8766.T,東京海上ホールディングス,90,True,True,57.8,8.4,-4.6,1.37,7584.0,45305627990,保険業,プライム,TOPIX Core30
255A.T,ジーエルテクノホールディングス,90,True,True,55.3,7.9,-6.7,1.84,6440.0,656934850,精密機器,スタンダード,-
4088.T,エア・ウォーター,90,True,True,68.7,12.7,-2.9,3.33,2777.0,3245140145,化学,プライム,-
2685.T,アンドエスティＨＤ,90,True,True,58.3,1.0,0.0,1.42,3530.0,769354300,小売業,プライム,TOPIX Small 1
2207.T,ｍｅｉｔｏ,85,True,False,77.4,8.6,-3.5,0.68,3195.0,122262700,食料品,プライム,TOPIX Small 2
4776.T,サイボウズ,85,True,True,59.2,2.9,-38.1,1.09,2533.0,933372620,情報･通信業,プライム,TOPIX Small 1
5532.T,リアルゲイト,85,True,False,69.1,7.6,-15.1,1.03,3625.0,112301650,不動産業,グロース,-
8078.T,阪和興業,85,True,True,46.8,0.7,-8.4,0.91,1734.0,1006308525,卸売業,プライム,TOPIX Small 1
2267.T,ヤクルト本社,85,True,False,77.8,8.2,-7.8,0.7,2846.5,2732671865,食料品,プライム,TOPIX Mid400
3923.T,ラクス,85,True,True,67.5,2.6,-25.4,0.92,1025.0,2242510751,情報･通信業,プライム,TOPIX Mid400
3131.T,シンデン・ハイテックス,85,True,True,74.6,10.1,0.0,0.36,4025.0,100942600,卸売業,スタンダード,-
3148.T,クリエイトＳＤホールディングス,85,True,True,49.1,0.6,-6.4,1.05,3255.0,364180875,小売業,プライム,TOPIX Small 1
2181.T,パーソルホールディングス,85,True,True,58.4,6.3,-12.8,1.0,254.2,1976240986,サービス業,プライム,TOPIX Mid400
336A.T,ダイナミックマッププラットフォーム,85,True,True,59.0,0.9,-31.4,0.99,877.0,349280400,情報･通信業,グロース,-
5803.T,フジクラ,85,True,False,60.6,12.9,-31.8,0.05,5358.0,274457316385,非鉄金属,プライム,TOPIX Large70
6947.T,図研,85,True,True,68.2,1.5,-15.5,1.11,4710.0,227277300,電気機器,プライム,TOPIX Small 1
6178.T,日本郵政,85,True,True,48.1,7.0,-2.0,0.69,2271.5,13047622925,サービス業,プライム,TOPIX Large70
7867.T,タカラトミー,85,True,True,71.1,6.4,-8.1,1.07,3259.0,1487612980,その他製品,プライム,TOPIX Mid400
6869.T,シスメックス,85,True,True,65.2,2.3,-38.7,0.81,1528.5,4537466852,電気機器,プライム,TOPIX Mid400
2962.T,テクニスコ,85,True,True,62.0,10.9,-25.1,0.87,1490.0,1119644160,金属製品,スタンダード,-
6118.T,アイダエンジニアリング,85,True,False,68.9,5.9,-12.4,1.25,1176.0,214032095,機械,プライム,TOPIX Small 1
2371.T,カカクコム,85,True,True,78.9,6.8,0.0,0.8,3564.0,3306659290,サービス業,プライム,TOPIX Mid400
6620.T,宮越ホールディングス,85,True,True,64.0,23.4,-48.9,0.75,829.0,340698780,不動産業,プライム,TOPIX Small 2
6104.T,芝浦機械,85,True,True,83.2,10.2,-4.6,0.66,4690.0,1048891425,機械,プライム,TOPIX Small 1
6629.T,テクノホライゾン,85,True,False,61.0,0.5,-32.7,0.98,1035.0,273551750,電気機器,スタンダード,-
6638.T,ミマキエンジニアリング,85,True,True,58.2,2.0,-12.1,0.62,1883.0,149163165,電気機器,プライム,TOPIX Small 2
7389.T,あいちフィナンシャルグループ,85,True,False,69.1,10.2,-11.4,0.49,1483.0,988591755,銀行業,プライム,TOPIX Small 1
6652.T,ＩＤＥＣ,85,True,False,84.9,1.0,-8.3,0.97,3380.0,346993925,電気機器,プライム,TOPIX Small 1
6703.T,沖電気工業,85,True,True,62.8,1.8,-11.2,0.94,3425.0,2457025535,電気機器,プライム,TOPIX Small 1
7199.T,プレミアグループ,85,True,True,73.1,9.7,-7.9,0.71,2140.0,456034330,その他金融業,プライム,TOPIX Small 1
3774.T,インターネットイニシアティブ,85,True,True,84.9,2.6,-0.1,0.73,3309.0,1865596488,情報･通信業,プライム,TOPIX Mid400
4493.T,サイバーセキュリティクラウド,85,True,True,56.1,1.8,-13.5,1.04,1803.0,183311465,情報･通信業,グロース,-
3608.T,ＴＳＩホールディングス,85,True,False,53.2,3.4,-21.7,0.77,1178.0,298255210,繊維製品,プライム,TOPIX Small 1
9468.T,ＫＡＤＯＫＡＷＡ,85,True,False,80.9,9.3,-8.2,0.93,3669.0,2597408625,情報･通信業,プライム,TOPIX Mid400
9449.T,ＧＭＯインターネットグループ,85,True,True,66.1,11.7,-11.3,0.64,3609.0,1566181770,情報･通信業,プライム,TOPIX Mid400
3983.T,オロ,85,True,True,63.4,1.1,-34.1,0.93,2106.0,143136032,情報･通信業,プライム,TOPIX Small 2
9433.T,ＫＤＤＩ,85,True,True,48.2,1.9,-2.8,0.8,2702.5,25432937672,情報･通信業,プライム,TOPIX Core30
3994.T,マネーフォワード,85,True,False,61.6,7.1,-32.1,1.19,4538.0,1646147355,情報･通信業,プライム,TOPIX Mid400
9301.T,三菱倉庫,85,True,True,77.3,5.0,0.0,0.54,1582.0,1891523678,倉庫･運輸関連業,プライム,TOPIX Mid400
8395.T,佐賀銀行,85,True,True,46.2,3.6,-1.4,0.97,5470.0,242858700,銀行業,プライム,TOPIX Small 2
